"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 13:48:12 GMT 2021","Thu Aug 05 13:48:13 GMT 2021","388","python_tests","test_conduit","","","","test_new_article","create new article with random data used a modul RandomData"
"passed","Thu Aug 05 13:47:46 GMT 2021","Thu Aug 05 13:47:49 GMT 2021","2550","python_tests","test_conduit","","","","test_register","a user registration with valid data"
"passed","Thu Aug 05 13:48:12 GMT 2021","Thu Aug 05 13:48:12 GMT 2021","82","python_tests","test_conduit","","","","test_pagination","select last page and assert if it is 'page-item active' "
"broken","Thu Aug 05 13:48:23 GMT 2021","Thu Aug 05 13:48:33 GMT 2021","10020","python_tests","test_conduit","","","","test_delete_article","delete the last and edited article"
"broken","Thu Aug 05 13:48:13 GMT 2021","Thu Aug 05 13:48:13 GMT 2021","147","python_tests","test_conduit","","","","test_new_article_from_file","add two new data from testdata.csv"
"broken","Thu Aug 05 13:48:13 GMT 2021","Thu Aug 05 13:48:23 GMT 2021","10070","python_tests","test_conduit","","","","test_edit_article","edit the last article"
"passed","Thu Aug 05 13:48:02 GMT 2021","Thu Aug 05 13:48:12 GMT 2021","10157","python_tests","test_conduit","","","","test_accept_cookies","accept cookies"
"passed","Thu Aug 05 13:47:44 GMT 2021","Thu Aug 05 13:47:46 GMT 2021","2825","python_tests","test_conduit","","","","test_login_with_empty_fields","try to login without email and password"
"passed","Thu Aug 05 13:47:50 GMT 2021","Thu Aug 05 13:48:02 GMT 2021","12344","python_tests","test_conduit","","","","test_save_data","Save data from articles from page n1"
"passed","Thu Aug 05 13:47:49 GMT 2021","Thu Aug 05 13:47:50 GMT 2021","680","python_tests","test_conduit","","","","test_login","login with a registered user"
"passed","Thu Aug 05 13:47:49 GMT 2021","Thu Aug 05 13:47:49 GMT 2021","246","python_tests","test_conduit","","","","test_logout","logout after successful registration"
